MC,,1,What is the primary goal of Principal Component Analysis (PCA)?,2,To test specific theoretical models,To reduce dimensionality while preserving maximum variance,To identify latent factors underlying observed variables,To separate common variance from unique variance
MC,,1,In the Factor Analysis model-- what does the communality (h²) represent?,2,The total variance of a variable,The proportion of variance explained by common factors,The measurement error in a variable,The correlation between factors
MC,,1,Which rotation method should you choose when factors are expected to be correlated?,3,Varimax,Quartimax,Promax,Equamax
MC,,1,What is the minimum recommended sample size for stable Factor Analysis results?,3,50 observations,100 observations,200 observations,500 observations
MC,,1,A KMO (Kaiser-Meyer-Olkin) value of 0.85 indicates--,3,Poor factorability,Marginal factorability,Good factorability,Excellent factorability
MC,,1,What does Bartlett's Test of Sphericity examine?,2,Whether variables are normally distributed,Whether the correlation matrix is an identity matrix,Whether factors are orthogonal,Whether sample size is adequate
MC,,1,In PCA-- what property do principal components have with respect to each other?,2,They are perfectly correlated,They are orthogonal (uncorrelated),They have equal variance,They have the same loadings
MC,,1,A factor loading of 0.75 for a variable on a factor indicates--,4,Poor indicator of the factor,Fair indicator of the factor,Good indicator of the factor,Excellent indicator of the factor
MC,,1,What is the key difference between Principal Axis Factoring (PAF) and Maximum Likelihood (ML) extraction?,2,PAF assumes multivariate normality-- ML does not,ML provides statistical tests-- PAF does not,PAF is computationally more intensive than ML,ML uses correlation matrix-- PAF uses covariance matrix
MC,,1,According to the Kaiser criterion-- which factors should be retained?,2,Factors with eigenvalues greater than 0.5,Factors with eigenvalues greater than 1.0,Factors explaining at least 10% of variance,The first three factors regardless of eigenvalues
MC,,1,What does a low communality (h² < 0.40) for a variable suggest?,3,The variable is well explained by the factors,The variable should be the primary factor interpreter,The variable is poorly explained by the common factors,The variable has high reliability
MC,,1,In Factor Analysis-- what is unique variance composed of?,3,Only measurement error,Only specific variance unique to the variable,Both specific variance and measurement error,Only common variance
MC,,1,What is the main advantage of oblique rotation over orthogonal rotation?,2,It is computationally simpler,It allows factors to be correlated when theoretically appropriate,It always provides better factor loadings,It is required for Principal Component Analysis
MC,,1,Parallel analysis helps determine the number of factors by--,2,Plotting eigenvalues against factor numbers,Comparing actual eigenvalues to those from random data,Using the Kaiser criterion automatically,Testing for statistical significance
MC,,1,A cross-loading greater than 0.40 typically indicates--,2,An excellent factor solution,A potential problem with the factor structure,High communality for the variable,Perfect simple structure
MC,,1,What is the fundamental equation for the correlation structure in Factor Analysis?,1,R = ΛΛ' + Ψ,R = ΛΛ' - Ψ,R = Λ + Ψ,R = ΛΨΛ'
MC,,1,When would you choose to use the correlation matrix instead of the covariance matrix in PCA?,2,When all variables are on the same scale,When variables are measured on different scales,When sample size is small,When factors are expected to be correlated
MC,,1,In the context of Factor Analysis-- what does "simple structure" refer to?,2,Using only one factor,Each variable loading highly on few factors,All variables having equal loadings,Factors being perfectly uncorrelated
MC,,1,What is the primary purpose of factor rotation?,2,To increase the total variance explained,To improve the interpretability of factors,To reduce the number of factors needed,To eliminate negative loadings
MC,,1,A scree plot is used to--,3,Test the normality of data,Visualize factor loadings,Determine the optimal number of factors,Check for outliers in the data
MC,,1,What assumption is violated if variables in your dataset have extremely high correlations (r > 0.90)?,4,Linearity,Normality,Independence,Multicollinearity
MC,,1,In Confirmatory Factor Analysis (CFA)-- what does an RMSEA value less than 0.06 indicate?,4,Poor model fit,Acceptable model fit,Good model fit,Excellent model fit
MC,,1,What is the main difference between exploratory and confirmatory factor analysis?,2,Sample size requirements,Exploratory discovers structure-- confirmatory tests predetermined structure,Statistical software used,Number of factors extracted
MC,,1,When conducting Factor Analysis with ordinal data-- which correlation matrix should be used?,3,Pearson correlation matrix,Spearman correlation matrix,Polychoric correlation matrix,Tetrachoric correlation matrix
MC,,1,What does it mean when a factor analysis solution explains 65% of the total variance?,3,35% of the data is measurement error,The solution is poor and should be rejected,65% of the variability in the original variables is captured by the common factors,Each factor explains exactly 65% of variance
